,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,None,0.0,0.23076650500297546,0.0,0.0,0.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None.,1.0,0.1780308485031128,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,Bored,1.0,1.0,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,None,0.0,0.173167422413826,0.0,0.0,0.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,None,0.0,0.23360861837863922,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,The Mac Mini and Mac Pro took the place of Mac's Xserve server.,1.0,0.5732970237731934,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,One example of an application that videoconferencing manufacturers have begun to offer is mobile applications that allow for live and still image streaming.,1.0,0.5704976320266724,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialetti italiani,1.0,0.7903838753700256,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin cycle.,1.0,0.9578313827514648,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.23365062475204468,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None,0.0,0.1720387041568756,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity",None,0.0,0.18433943390846252,0.0,0.0,0.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0000001192092896,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,Boundary scan testing is used to appraise the interconnects between components on a printed circuit board.,1.0,0.16142117977142334,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",BBC and Sky Sports.,1.0,0.6504850387573242,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.32694676518440247,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None.,0.0,0.20503953099250793,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant or manager of a pub is known as the ""pub landlord"".",1.0,0.8349246978759766,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","Over 22,000 signatures.",1.0,0.5981031656265259,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,Transparency and prevent conflicts of interest influencing articles.,1.0,0.42422056198120117,1.0,1.0,1.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,"The teachings of samurais live on in various aspects such as Zen meditation, the importance of loyalty to one's lord as stressed by Confucianism, and the values of bravery, family pride, and devotion as portrayed in warrior writings.",1.0,0.5107347965240479,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,Four years,1.0,0.4845983386039734,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,December 2008,1.0,1.0000001192092896,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,None,1.0,0.113132543861866,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,"conservatives, ""patriots,"" and Russian nationalists of the USSR",0.0,0.08849059790372849,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,None,1.0,0.2161814570426941,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,"Personality and contextual factors, size and cohesion of the minority party, whether party controls the White House, general political climate in the House, controversy associated with legislative agenda.",1.0,0.48157405853271484,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",None,1.0,-0.13219326734542847,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.08773724734783173,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,Vice President Lyndon B. Johnson had issues with JFK's proposal.,0.0,0.1834544986486435,0.0,0.0,0.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,CATOBAR allows for aircraft to recover by using a tailhook that catches on arrestor wires to bring themselves to a stop in a short distance on the carrier deck. It also allows for a landing area angled off axis to allow aircraft who missed the arresting wires to safely return to flight for another landing attempt.,1.0,0.19384199380874634,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,These forts were commonly built along the main branch of the river Rhine.,0.0,0.08255402743816376,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,None,0.0,0.04606446996331215,0.0,0.0,0.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,Traders and trappers made up most unions between Europeans and natives.,1.0,0.49695855379104614,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,None,0.0,0.12995636463165283,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.8184265494346619,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,None,0.0,0.21975776553153992,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,"French alone is the official language of the Republic, but regional languages such as Alsatian are recognized by the French government in the official list of languages of France.",1.0,0.8002067804336548,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,BYU's International Cinema,1.0,0.618169903755188,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies","The relationships between male slaveholders, overseers, or master's sons and women slaves have helped geneologists researching slaves.",1.0,0.36555832624435425,1.0,1.0,1.0
41,When did the first free election take place?,1492,None,0.0,0.22311514616012573,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,None.,0.0,0.0633682906627655,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,"The New Haven trial known to be the longest in the history of Connecticut is the trial of Amos S. Morse, which lasted six months from August 1911 to February 1912.",1.0,0.40781140327453613,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,Rossiyskaya Gazeta,1.0,1.0,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,None,0.0,0.25159743428230286,0.0,0.0,0.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.7774763107299805,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.18154340982437134,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,None,0.0,0.19291500747203827,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,"Florida residents have received more federal monies than they pay in taxes, making the state a net beneficiary.",1.0,0.9815232157707214,1.0,1.0,1.0
