,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,None.,1.0,0.14598041772842407,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None,1.0,0.07558059692382812,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,None,1.0,0.1994456797838211,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,"Members of the police, armed forces, civil servants, and members of foreign legislatures are disqualified from sitting in the Scottish Parliament as elected MSPs.",1.0,0.15236325562000275,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Staten Island and Roosevelt Island,0.0,0.1043582633137703,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,None,1.0,-0.041549935936927795,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,Mobile applications for live and still image streaming.,1.0,0.6956890821456909,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialetti,1.0,0.9999998807907104,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,None,0.0,-0.017258336767554283,0.0,0.0,0.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.09540875256061554,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None,0.0,0.08302988857030869,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice, and Integrity.",1.0,0.9915975332260132,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Schindler's List was based on the life of Oskar Schindler.,1.0,0.713277280330658,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,None,1.0,0.2513068914413452,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,Integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.6041356921195984,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",None,1.0,0.009324196726083755,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.23014739155769348,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None,0.0,0.0807202160358429,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant or manager of a pub is known as the ""pub landlord"".",1.0,0.7377417683601379,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.8434754014015198,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,None.,0.0,-0.01970614679157734,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,None,0.0,0.022281916812062263,0.0,0.0,0.0
22,How many years does the term of a Richmond city council representative last?,four,Four years,1.0,0.42632320523262024,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,None,0.0,0.14940011501312256,0.0,0.0,0.0
