,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid wrote a long poem describing Roman religious holidays.,1.0,0.4118220806121826,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,The form of hydrogen and carbon is called hydrocarbons.,1.0,0.7120563387870789,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,Bored,1.0,1.0,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,"Members of the police, armed forces, civil servants, and members of foreign legislatures are disqualified from sitting in the Scottish Parliament as elected MSPs.",1.0,0.21987369656562805,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,None,0.0,0.23360860347747803,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,None,1.0,0.07554265856742859,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,Mobile collaboration systems,1.0,0.15650945901870728,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,"In the Italian language, Italian dialects are often referred to as ""dialetti"".",1.0,0.6523044109344482,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin Cycle,1.0,0.975460410118103,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,Studio management,1.0,0.43972665071487427,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Governor Thomas Lindall Winthrop,1.0,0.06744123250246048,1.0,1.0,1.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity.",1.0,0.9773526191711426,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler.,1.0,0.9884300231933594,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,None,1.0,0.2188326120376587,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,The integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.4625229239463806,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",The BBC and Sky Sports shared FA Cup coverage from 1988-1997.,1.0,0.9328627586364746,1.0,1.0,1.0
