,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Virgil,0.0,0.29919761419296265,0.0,0.0,0.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None,1.0,0.21105095744132996,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,Bored,1.0,1.0,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,None,0.0,0.1731673628091812,0.0,0.0,0.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,None.,0.0,0.223221093416214,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,The Mac Mini and Mac Pro took the place of Mac's Xserve server.,1.0,0.5732970237731934,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,One example of an application that videoconferencing manufacturers have begun to offer is mobile applications that allow for live and still image streaming.,1.0,0.5704976320266724,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,"In the Italian language, Italian dialects are referred to as ""Dialetti Italiani.""",1.0,0.5673147439956665,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin cycle,1.0,0.975460410118103,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.2336505651473999,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None,1.0,0.17203858494758606,1.0,1.0,1.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity",None,0.0,0.18433940410614014,0.0,0.0,0.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0000001192092896,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,The ICs (integrated circuits) on the board are appraised with boundary scan testing.,1.0,0.493152379989624,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",BBC and Sky Sports had FA Cup coverage from 1988-1997.,1.0,0.9497370719909668,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.32694679498672485,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None,0.0,0.2505530118942261,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant, or manager of a pub is known as the ""pub landlord"" or ""publican"".",1.0,0.7560770511627197,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","Over 22,000 people signed the protest petition in response to Everton FC's crest redesign in 2013.",1.0,0.22795554995536804,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,"Transparency, prevent conflicts of interest, and mitigate attempts to remove or distort relevant facts in Wikipedia articles.",1.0,0.39785945415496826,1.0,1.0,1.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,"The teachings of samurais live on in philosophies like Bushidō, which translates to ""the way of the warrior.""",1.0,0.5449157953262329,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,The term of a Richmond city council representative lasts four years.,1.0,0.14665070176124573,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,Since December 2008.,1.0,0.7355301380157471,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,Liang Ji was forced to commit suicide.,1.0,0.5624645352363586,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,"The reformers, ""patriots,"" and Russian nationalists of the USSR who were opposed to weakening the Soviet state and its centralized power structure supported the reaction against the government.",0.0,0.03205620124936104,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,Jochi's death occurred in 1226.,1.0,0.34507304430007935,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,"Personality, contextual factors such as size and cohesion of the minority party, control of the White House, political climate in the House, controversy associated with legislative agenda.",1.0,0.5355384349822998,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",None,1.0,-0.13219326734542847,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.08773729205131531,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,"Many conservatives accused JFK's proposal, particularly Title VII of the Civil Rights Act, of advocating a de facto quota system and claimed unconstitutionality as it attempts to regulate the workplace.",0.5,0.27752402424812317,0.5,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,CATOBAR allows for aircraft to recover by using an arresting wire system on the deck of the carrier.,1.0,0.2856083810329437,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,"Along the main branch of the river Rhine, which at that time flowed through a more northern bed compared to today.",0.0,0.18060153722763062,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Borrelia burgdorferi.,1.0,0.532669186592102,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,Traders and fur trappers were the ones who made up most unions between Europeans and natives.,1.0,0.4724569320678711,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,None,0.0,0.12995633482933044,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,The lower regions and larger towns of the Alps are well-served by motorways and main roads.,1.0,0.5809957981109619,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,None,0.0,0.21975763142108917,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,The French constitution states that French alone is the official language of the Republic in Alsace.,1.0,0.8167309761047363,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,1.0000001192092896,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",The fact that some African slaves were freed by their masters has helped genealogists researching slaves.,1.0,0.4081401824951172,1.0,1.0,1.0
41,When did the first free election take place?,1492,None,0.0,0.22311508655548096,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,None,0.0,0.10300935804843903,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,The New Haven Black Panther trials.,1.0,0.963679313659668,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,"The change was originally published on January 6, 1992 in the Rossiyskaya Gazeta.",1.0,0.6443856954574585,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,None,0.5,0.2515973150730133,0.5,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.7774763107299805,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.18154338002204895,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,None,0.0,0.19291499257087708,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,"Florida residents have received more federal monies than they pay in taxes, making the state a net beneficiary.",1.0,0.9815232157707214,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,None,1.0,0.16233199834823608,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,"Cultural barriers, religious beliefs, fear of addiction stigma, gender, and pathogen load can all affect how a person is treated.",0.0,0.30262190103530884,0.0,0.0,0.0
