,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,None,1.0,0.14831192791461945,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None,1.0,0.07558059692382812,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"""Counterintuitive""",1.0,-0.0017421543598175049,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,None.,1.0,0.06490781903266907,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Staten Island and Lower Manhattan.,0.0,0.24738307297229767,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,The Mac Pro server took the place of Mac's Xserve server.,1.0,0.46902143955230713,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,Mobile applications that allow for live and still image streaming.,1.0,0.6285989880561829,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,None.,1.0,0.08464169502258301,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin cycle,1.0,0.8251120448112488,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.09540875256061554,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None,0.0,0.08302988857030869,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity",None,0.0,0.019234955310821533,0.0,0.0,0.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler's,1.0,0.9341515898704529,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,0.9999999403953552,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,The integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.5976734161376953,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",BBC and Sky Sports,1.0,0.4573364853858948,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.23014739155769348,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None.,0.0,0.05099533125758171,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant, or manager of a pub is known as the ""pub landlord"".",1.0,0.732490062713623,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000 people signed a petition in protest of Everton FC's crest redesign in 2013.",1.0,0.269922137260437,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,None.,0.0,-0.019706182181835175,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,None.,0.0,0.009627016261219978,0.0,0.0,0.0
22,How many years does the term of a Richmond city council representative last?,four,Four years,1.0,0.42632314562797546,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,None,0.0,0.14940011501312256,0.0,0.0,0.0
24,How did Liang Ji die?,forced to commit suicide,Liang Ji was forced to commit suicide.,1.0,0.5642021894454956,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,The Communists and the British Union of Fascists (BUF) supported the reaction against the government.,0.0,0.15131938457489014,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,None,1.0,0.029955660924315453,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,"The role of the minority leader is influenced by a variety of elements, including personality and contextual factors, such as the size and cohesion of the minority party, whether his or her party controls the White House, the general political climate in the House, and the controversy associated with the legislative agenda.",1.0,0.28065067529678345,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",No.,1.0,-0.021016348153352737,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.03622329980134964,0.0,0.0,0.0
