,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid wrote a long poem describing Roman religious holidays.,1.0,0.5661754012107849,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None,1.0,0.2401956170797348,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,Bored,1.0,1.0000001192092896,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,"Members of the police, the armed forces, civil servants, and members of foreign legislatures are disqualified from sitting in the Scottish Parliament as elected MSPs.",1.0,0.33936792612075806,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Prince of Wales Island and Skagway,0.0,0.43539002537727356,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro took the place of Mac's Xserve server.,1.0,0.5311517715454102,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,High definition resolution for videoconferencing,1.0,0.32529816031455994,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialetti italiani,1.0,0.7697048783302307,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,The Calvin cycle starts with rubisco.,1.0,0.7324516773223877,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.13051772117614746,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Bohemond,1.0,1.0,1.0,1.0,1.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice, Integrity",1.0,0.9788500666618347,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0000001192092896,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,Integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.35663408041000366,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",The BBC and Sky Sports had FA Cup coverage from 1988-1997.,1.0,0.925662636756897,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.29982441663742065,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None,0.0,0.19397997856140137,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant or manager of a pub is known as the ""pub landlord"" or ""publican"".",1.0,0.7640786170959473,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","Over 22,000 signatures",1.0,0.5345399975776672,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,None,0.0,0.18946921825408936,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,"The teachings of samurais live on through the ideals of Bushido, which transcended social class, time, and geographic location of the warrior class.",1.0,0.5582466125488281,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,Four years,1.0,0.5343625545501709,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,December 2008,0.5,1.0000001192092896,0.5,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,Liang Ji was forced to commit suicide.,1.0,0.5424989461898804,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,The Muslim Brotherhood supported the RCC.,0.0,-0.08252131938934326,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,None.,1.0,0.16676752269268036,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,"Personality and contextual factors such as the size and cohesion of the minority party, whether the party controls the White House, the general political climate in the House, and controversies associated with the legislative agenda influence the role of the minority leader.",1.0,0.3609987497329712,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",None,1.0,-0.04479946196079254,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.1251610815525055,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,NAACP,1.0,1.0,1.0,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,"CATOBAR allows for the deployment of heavy jets with full loadouts, especially on ground-attack missions.",1.0,0.5708506107330322,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,"hilltops, seashore cliffs, peninsulas",1.0,0.4919551610946655,1.0,1.0,1.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,"Borrelia burgdorferi, the cause of Lyme disease, is an exception to the single circular chromosome rule as it contains a single linear chromosome.",1.0,0.32256609201431274,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,Africans and Indigenous Americans made up most unions between Europeans and natives.,1.0,0.5995653867721558,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,None,1.0,0.14542528986930847,1.0,1.0,1.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.8430033326148987,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,Pacific ocean,0.0,0.7971265316009521,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic in Alsace according to the constitution of the Fifth Republic.,1.0,0.7134569883346558,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,0.9999999403953552,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies","The fact that Thomas Jefferson freed his Hemings children and allowed some to ""escape"" to the North in 1822, as well as granting freedom to two upon his death in 1826, has helped genealogists researching slaves.",1.0,0.47901251912117004,1.0,1.0,1.0
41,When did the first free election take place?,1492,The first free election took place in October 1992.,0.0,0.31109321117401123,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,None,0.0,0.13535644114017487,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,The New Haven Black Panther trials.,1.0,0.915544331073761,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,"The new sovereign status of the Russian Federation was first published in the Rossiyskaya Gazeta on January 6, 1992.",1.0,0.49962857365608215,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Vostok 1,1.0,1.0000001192092896,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.7202520966529846,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.18965567648410797,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,British Airways,1.0,1.0000001192092896,1.0,1.0,1.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,None.,1.0,0.08332879841327667,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet,1.0,1.0,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,"The relationships adolescents have with their peers, family, and members of their social sphere play a vital role in how a person is treated. Peer pressure, emotions such as pride and shame, and the formation or disruption of social bonds can all affect how a person is treated. Additionally, emotion regulation strategies, cognitive components of emotion, physical energy discharging, and symbolic movement and facial expression components of emotion can also influence how a person is treated.",0.0,0.31570738554000854,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,"Portugal's currency was replaced by the euro, replacing the Portuguese Escudo.",1.0,0.5170074105262756,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468",None,0.0,-0.012574898079037666,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,区 (qū),1.0,0.487140029668808,1.0,1.0,1.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,To advance into Bohemia and set up winter quarters at Austria's expense.,1.0,0.8305607438087463,1.0,1.0,1.0
