,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid,1.0,1.0000001192092896,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,None,1.0,0.2401956170797348,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,None,1.0,0.31167176365852356,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,Members of the police and the armed forces are disqualified from sitting in the Scottish Parliament as elected MSPs.,1.0,0.4419107735157013,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,None,0.0,0.17879974842071533,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro,1.0,1.0,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,"One example of an application that videoconferencing manufacturers have begun to offer is personal videoconferencing systems based on a webcam, personal computer system, software compression, and broadband Internet connectivity.",1.0,0.38388243317604065,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,None,1.0,0.16510076820850372,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin cycle,1.0,0.9102529287338257,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,None,1.0,0.13051772117614746,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,None.,0.0,0.12180998176336288,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","The words inscribed on the mace of parliament are: Wisdom, Compassion, Justice, and Integrity.",1.0,0.5806710124015808,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,The life of Oskar Schindler.,1.0,0.8292549848556519,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,"In the 1988 presidential election, Schwarzenegger made a name for himself as a prominent Republican.",1.0,0.25589999556541443,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,The integrated circuits (ICs) on the board are appraised with boundary scan testing.,1.0,0.3729386031627655,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",BBC and Sky Sports.,1.0,0.5330811738967896,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,None,0.0,0.29982441663742065,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,None,0.0,0.19397997856140137,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,"The owner, tenant or manager of a pub is properly known as the ""pub landlord"".",1.0,0.7788368463516235,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","Over 22,000 signatures.",1.0,0.5754549503326416,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,Griffith's tool helped increase the efficiency of early textile manufacturing.,0.0,0.07170754671096802,0.0,0.0,0.0
