,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Cicero,1.0,0.0452268160879612,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,cation,1.0,0.0035408809781074524,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,most expensive,1.0,0.08927829563617706,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,the police and the armed forces,1.0,0.9664430618286133,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Prince of Wales Island,0.0,0.08480997383594513,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,iCloud,1.0,0.15768535435199738,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,"mobile applications as well, such as those that allow for live and still image streaming",1.0,0.48171693086624146,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialetti,1.0,0.9999999403953552,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,induction motors,0.0,0.15871214866638184,0.0,0.0,0.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,television studio,1.0,0.4503125250339508,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Meinhard,0.0,0.18015557527542114,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.0,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Heinrich Himmler,0.0,0.4673610329627991,0.0,0.0,0.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1990,1.0,0.8103361129760742,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",.,1.0,-0.015428107231855392,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,78.9%,0.0,0.8458247780799866,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1929,0.0,0.5463265180587769,0.0,0.0,0.0
