,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid,1.0,1.0000001192092896,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrocarbons,1.0,1.0,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.6314525008201599,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,the police and the armed forces,1.0,0.9196939468383789,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Cornwall and Devon,0.0,0.41401463747024536,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro,1.0,1.0,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,PCS/1,1.0,0.09289346635341644,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialetti,1.0,0.9999999403953552,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.5411341190338135,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,movie production,1.0,1.0,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Henry III,0.0,0.27326372265815735,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.000000238418579,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,2008,1.0,0.6712614297866821,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",the BBC and Sky Sports,1.0,0.5244463682174683,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,0.05%,0.0,0.6232921481132507,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1948,0.0,0.5723389387130737,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,1.0,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.8146733641624451,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,production,0.0,0.2606773376464844,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,in both everyday life and in modern Japanese martial arts,1.0,0.8789273500442505,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,four,1.0,1.0,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,December 2008,1.0,1.0000001192092896,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,suicide,1.0,0.6468729972839355,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,King Saud of Saudi Arabia,0.0,0.05499277263879776,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1226,1.0,1.0,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,personality and contextual factors,1.0,1.0000001192092896,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",the rainforest still managed to thrive,1.0,0.6346763372421265,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,no wave,0.0,0.11911463737487793,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,NAACP,1.0,1.0,1.0,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,deployment of heavy jets with full loadouts,1.0,1.0,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,within the River Plate estuary at Colonia del Sacramento,0.0,0.23942965269088745,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Spirochaetes,1.0,0.7032971382141113,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,First Nation and native Inuit married European settlers,0.0,0.6721643805503845,0.0,0.0,0.0
35,What did the Guardian name her?,Artist of the Decade,The Bey Hive,1.0,0.23523880541324615,1.0,1.0,1.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,high precipitation experience periodic flooding from rapid snowmelt and runoff,1.0,0.12203291803598404,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,Sea of Tranquility,0.0,0.5493539571762085,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic,1.0,0.8544268012046814,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,1.0,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies","Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",1.0,1.0000001192092896,1.0,1.0,1.0
41,When did the first free election take place?,1492,October 1992,0.0,0.6150915026664734,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,Anthropology,0.0,0.7430545091629028,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,Black Panther trials,1.0,0.8158695697784424,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,Rossiyskaya Gazeta,1.0,0.9999999403953552,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Freedom 7,1.0,0.3289055824279785,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,a mixture of metals or a mixture of a metal and another element,1.0,1.0,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,Corunna,0.0,0.1825900673866272,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,British Airways,1.0,1.0000001192092896,1.0,1.0,1.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,Floridians spent an average 49.1% of personal income on housing-related costs,1.0,0.4844382703304291,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet,1.0,1.0,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,Perceived sexual orientation,1.0,1.0000001192092896,1.0,1.0,1.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,Portuguese Escudo,1.0,1.0000001192092896,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468","2,138",0.0,0.3916783332824707,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,qū,1.0,0.9999999403953552,1.0,1.0,1.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,to advance into Bohemia,1.0,0.5709246397018433,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,2008,0.0,0.6608853340148926,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Clement Greenberg,1.0,0.9689548015594482,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots",hand/body-eye co-ordination,0.0,0.08579256385564804,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,Elizabethan England,1.0,0.3348206579685211,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,Alexander the Great,1.0,1.0,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,Euornithes,1.0,0.31041550636291504,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,British Columbia,0.0,0.42114198207855225,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,Mongol invasions,1.0,0.5436673164367676,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),Greater Hyderabad Municipal Corporation,1.0,0.8954384326934814,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,a widely circulated photograph,1.0,0.6223048567771912,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,Broadway Boulevard,0.0,0.551908552646637,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,Timothy Geithner,1.0,0.4630284905433655,1.0,1.0,1.0
