,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Cicero,1.0,0.0452268160879612,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,monatomic,1.0,0.21438008546829224,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.8016880750656128,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,Errant members can be deselected as official party candidates,1.0,-0.018468491733074188,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Staten Island and Lower Manhattan,0.0,0.2541459798812866,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,"More than 140,000 pre-orders were placed before it started shipping in September, and by October proved to be a large success.
Apple discontinued the use of PowerPC microprocessors in 2006. At WWDC 2005, Steve Jobs announced this transition, revealing that Mac OS X was always developed to run on both the Intel and PowerPC architectures. All new Macs now use x86 processors made by Intel, and some were renamed as a result. Intel-based Macs running OS X 10.6 and below (support has been discontinued since 10.7) can run pre-existing software developed for PowerPC using an emulator called Rosetta, although at noticeably slower speeds than native programs. However, the Classic environment is unavailable on the Intel architecture. Intel chips introduced the potential to run the Microsoft Windows operating system natively on Apple hardware, without emulation software such as Virtual PC. In March 2006, a group of hackers announced that they were able to run Windows XP on an Intel-based Mac. The group released their software as open source and has posted it for download on their website.",1.0,0.4079292416572571,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,VoIP,1.0,0.21266984939575195,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,regional,1.0,-0.003505818545818329,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.5159343481063843,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,Motion Picture Trust,1.0,0.3119056522846222,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,William,0.0,0.11915794759988785,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.0,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",the BBC and Sky Sports,1.0,0.5222190618515015,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,"16.0%, 4.0%",0.0,0.6714654564857483,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1958,0.0,0.6672202348709106,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,0.9999998807907104,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.843475341796875,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,a sense of nationalism and national purpose,0.0,0.144941508769989,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,mosques,0.0,0.08951866626739502,0.0,0.0,0.0
22,How many years does the term of a Richmond city council representative last?,four,four,1.0,1.0,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,"9/11. The Post reported from Zegart's book that government documents show the CIA and FBI missed 23 potential chances to disrupt the terrorist attacks of September 11, 2001",0.0,0.37350210547447205,0.0,0.0,0.0
24,How did Liang Ji die?,forced to commit suicide,suicide,1.0,0.37526360154151917,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,the Cabinet,0.0,0.05191916972398758,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1849,0.0,0.3062036633491516,0.0,0.0,0.0
27,What influences role of minority leader?,personality and contextual factors,whether the President is of the same party or the other party,1.0,0.029459288343787193,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.","periods of the Quaternary, Manchuria, lowland Siberia, and central and northern Alaska, though extraordinarily cold, had such light snowfall that glaciers could not form",0.0,0.34132546186447144,0.0,0.0,0.0
29,What genre was 'LA 2017'?,futuristic science fiction,horror,0.0,0.37734895944595337,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,Bernard Harcourt,0.0,0.15966221690177917,0.0,0.0,0.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,to recover their aircraft,1.0,0.4410005211830139,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,Toronto,0.0,-0.07972632348537445,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Neisseria,1.0,0.20109377801418304,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,African men,1.0,0.5739259719848633,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,Mirella Bianco,0.0,0.11605111509561539,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.81688392162323,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,"Houston, Texas",1.0,-0.032423004508018494,1.0,1.0,1.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic,1.0,0.8465481996536255,1.0,1.0,1.0
