,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Cicero,1.0,0.0452268160879612,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrogen cation,1.0,0.41320037841796875,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.8016878962516785,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,Errant members can be deselected as official party candidates,1.0,-0.018468491733074188,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Kingston and Cascade,0.0,0.31134212017059326,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,"Classic"".",1.0,0.12388424575328827,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,live and still image streaming,1.0,0.8646215796470642,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,unofficial regional languages,1.0,0.017466342076659203,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.5159343481063843,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,Motion Picture Trust,1.0,0.31190574169158936,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Leopold,0.0,0.12440427392721176,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.0,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,0.9999998807907104,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",the BBC and Sky Sports,1.0,0.5222189426422119,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,12.1%),0.0,0.7631676197052002,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,2006,0.0,0.3276391625404358,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,0.9999998807907104,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.843475341796875,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,a sense of nationalism and national purpose,0.0,0.144941508769989,0.0,0.0,0.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,Rey,0.0,0.09690548479557037,0.0,0.0,0.0
22,How many years does the term of a Richmond city council representative last?,four,four,1.0,1.0,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,1940s and continuing into the 1970s,0.0,0.24284133315086365,0.0,0.0,0.0
24,How did Liang Ji die?,forced to commit suicide,suicide,1.0,0.37526360154151917,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,Libya,0.0,0.15028603374958038,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1227,1.0,0.7807098627090454,1.0,1.0,1.0
