,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Publius Vergilius Maro,0.0,0.1915534883737564,0.0,0.0,0.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrogen cation,1.0,0.3759179413318634,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.6691499948501587,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,"""board-only"" organizations",0.0,0.15373504161834717,0.0,0.0,0.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Kingston and Cascade,0.0,0.2946470081806183,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro,1.0,1.0,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,live and still image streaming,1.0,0.8538230657577515,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,unofficial regional languages,1.0,0.16425953805446625,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.6778202056884766,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,Motion Picture Trust,1.0,0.37804362177848816,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,Feynman,0.0,0.26266586780548096,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity",Her Majesty has given Her Royal Assent to the several Acts in the Commission mentioned,0.0,0.08346536010503769,0.0,0.0,0.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1988,1.0,1.0000001192092896,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
15,Who had FA cup coverage from 1988-1997?,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",the BBC and Sky Sports,1.0,0.6875511407852173,1.0,1.0,1.0
16,What percentage of the population was Caucasian in 1940?,92%,26.65%,0.0,0.6506688594818115,0.0,0.0,0.0
17,In what year was Columbia University chartered?,1754,1948,0.0,0.34966862201690674,0.0,0.0,0.0
18,"What is the owner, tenant or manager of a pub known as?",pub landlord,pub landlord,1.0,1.0,1.0,1.0,1.0
19,How many people signed a petition in protest of Everton FC's crest redesign in 2013?,"over 22,000","22,000",1.0,0.8700043559074402,1.0,1.0,1.0
20,What did Griffith's tool help increase?,transparency,transparency,1.0,1.0,1.0,1.0,1.0
21,Where do samurais' teachings live on?,everyday life and in modern Japanese martial arts,"bukeyashiki.
Most samurai were bound by a code of honor and were expected to set an example for those below them. A notable part of their code is seppuku (切腹, seppuku?) or hara kiri, which allowed a disgraced samurai to regain his honor by passing into death, where samurai were still beholden to social rules. Whilst there are many romanticized characterizations of samurai behavior such as the writing of Bushido (武士道, Bushidō?) in 1905, studies of Kobudo and traditional Budō",1.0,0.5061953663825989,1.0,1.0,1.0
22,How many years does the term of a Richmond city council representative last?,four,four,1.0,0.9999999403953552,1.0,1.0,1.0
23,When did an investigation occur under school casualties?,December 2008,December 2008,1.0,1.0,1.0,1.0,1.0
24,How did Liang Ji die?,forced to commit suicide,suicide,1.0,0.7817090749740601,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,university students,0.0,0.19709624350070953,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,1226,1.0,1.0,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,personality and contextual factors,1.0,1.0,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",sparsely populated,1.0,0.160796657204628,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,glam metal,0.0,0.206457257270813,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,American public,0.0,0.29663193225860596,0.0,0.0,0.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,to recover their aircraft,1.0,0.3247508704662323,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,on the banks of the St. Johns River,0.0,0.2764279842376709,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Spirochaetes of the genus Borrelia,1.0,1.0000001192092896,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,African men,1.0,0.5130178928375244,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,Alexandrina Victoria,0.0,0.1836983859539032,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.8184265494346619,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,unpiloted Soyuz 2,0.0,0.019802050665020943,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic,1.0,0.9126567840576172,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,International Cinema,1.0,1.0000001192092896,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",population mapping studies,1.0,0.20392107963562012,1.0,1.0,1.0
41,When did the first free election take place?,1492,1868,0.0,0.5013490319252014,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,sociology,0.0,0.24033565819263458,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,New Haven Black Panther trials,1.0,1.0,1.0,1.0,1.0
