,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
0,What poet wrote a long poem describing Roman religious holidays?,Ovid,Ovid,1.0,1.000000238418579,1.0,1.0,1.0
1,What is the form of hydrogen and carbon called?,hydrocarbons,hydrocarbons,1.0,1.0000001192092896,1.0,1.0,1.0
2,What adjective did Lawrence Toppman use to describe Craig's portrayal of James Bond?,Bored,"Bored, James Bored",1.0,0.6691499948501587,1.0,1.0,1.0
3,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces,the police and the armed forces,1.0,0.9868184328079224,1.0,1.0,1.0
4,To what two islands does the ferry service connect?,Bainbridge and Vashon,Prince of Wales Island,0.0,0.16037021577358246,0.0,0.0,0.0
5,What took the place of Mac's Xserve server?,Mac Mini and Mac Pro,Mac Mini and Mac Pro,1.0,1.0,1.0,1.0,1.0
6,What is one example of an application that videoconferencing manufacturers have begun to offer?,still image streaming,"diagnosis, consulting, transmission of medical images",1.0,0.3431260883808136,1.0,1.0,1.0
7,What are Italian dialects termed in the Italian language?,dialetti,dialects,1.0,0.3317279517650604,1.0,1.0,1.0
8,What cycle starts with rubisco?,The Calvin cycle,Calvin,1.0,0.6778202056884766,1.0,1.0,1.0
9,"Along with exhibition and distribution, what business did the Universal Film Manufacturing Company engage in?",movie production,"producing mostly inexpensive melodramas, westerns and serials.
In its early years Universal released three brands of feature films — Red Feather, low-budget programmers",1.0,0.37939023971557617,1.0,1.0,1.0
10,Who was Robert's son?,Bohemond,John Still Winthrop,0.0,0.0903920829296112,0.0,0.0,0.0
11,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity","Wisdom, Compassion, Justice and Integrity",1.0,1.0,1.0,1.0,1.0
12,Whose life was 'Schindler's List' based on?,Oskar Schindler,Oskar Schindler,1.0,1.0,1.0,1.0,1.0
13,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988,1862,1.0,0.5102723836898804,1.0,1.0,1.0
14,What component of the printed circuit board is appraised with boundary scan testing?,ICs,ICs,1.0,1.0,1.0,1.0,1.0
