questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=99729d5c09ec68a18e6cb9e326f59027b5c69bc74e05e8c8c0d825360370bf5e, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5674900599530198)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,Musharraf agreed to give the U.S. the use of three airbases for Operation Enduring Freedom. United States Secretary of State Colin Powell,"[Document(id=b125a71d25ec0dbd53a36a18b59518a04fd4d2eabf3279289747c0ff9d95561b, content: ' Musharraf agreed to give the U.S. the use of three airbases for Operation Enduring Freedom. United ...', meta: {'name': 'War_on_Terror', 'source_id': 'b9ac47a39d382362992253f0ccfa0072ea6216fe1daa748c4899980b467292f4', 'page_number': 1}, score: 0.43165641729518267)]",0.0,-0.005649004131555557,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Rotterdam,"[Document(id=3fe9edc56bd80e018f3b5d2c1a425a36eeeae2507d5266fa8dcf4b61ff983f68, content: ' Thereafter bombing operations were against ports and shipping and propaganda leaflet drops. Operati...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5911931526438963)]",1.0,0.3784560561180115,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e5cb80c1093f573ce5c1d255322723cb12056865ea80e45b815e3467be2f33fd, content: ' It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially)...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.6521761611401243)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Protestant and Non-Denominational traditions,"[Document(id=540182e8bbf642679e675c620838f54822163c84a6963cd26e2c6bb9b8f209e7, content: ' Also, with the advent of the internet, many teachers are now selling their lesson plans to other te...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.5329079416622291)]",1.0,0.1965978592634201,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Panathinaikos,"[Document(id=026227f3702b0787154427ea73d148dcd6a4f18ee99d18c27d07b0ef11b65e25, content: 'O.K. Greek basketball teams are the most successful in European basketball the last 25 years, having...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6736603406595517)]",1.0,0.7261656522750854,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=5a76d0c122f92ef189448d61efc0333c0e7eb4caa25ac15e516eca3fccbdd7aa, content: '
The show had originally planned on having four judges following the Pop Idol format; however, only ...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6322883929113561)]",1.0,0.8083884716033936,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,infrared light-emitting diodes,"[Document(id=d44adf593e34d3121d568db8ecc9e819e5b21894cde7cc7fac048fc3c5d2016f, content: ' Infrared light sources can be used to augment the available ambient light for conversion by night v...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6637731014692062)]",1.0,0.26119592785835266,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6643419003251825)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,"Bergen (in Norway), Stockholm (in Sweden), and Vyborg","[Document(id=5cf9bba4037ffb12d79f2ab44ea7b22d5556d1f47b8e6bb302f92f2d93799518, content: ' Along the trade routes, Hanseatic trade stations became centers of the German culture. German town ...', meta: {'name': 'Germans', 'source_id': '87c5e28d01065fdd517ee7c4c4b9b83b8b40b35a4d9ba5664f523e4485346f24', 'page_number': 1}, score: 0.6015261078515344)]",0.0,0.4704947769641876,0.0,0.0,0.0
