questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=3c9b5484de418625b08e3d8f4e3c3398f40f2f5af0bbf48528ee46ea38c64e7c, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5133148969949781)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,11 May 1944,"[Document(id=c58958638fa47dad60cf7d7556802e28d387d9bdc8b406eb23f39fcb8c5a5b19, content: ' The descriptions of these were published in Memoir III of the Australian Museum Sydney between 1896...', meta: {'name': 'Tuvalu', 'source_id': '4a4e309bc4b63f2a542d80bca7c9d33d9df6ccfa328612b01483ad5d2101621d', 'page_number': 1}, score: 0.3557680082127386)]",0.0,0.3155817687511444,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Battle of Britain Day,"[Document(id=431dd16953391b6c15afbac30de4f8b8985317cd0d88a29fb200a7d7cdaa5c4e, content: '..] then we will now drop [...] 300,000, 400,000, yes one million kilograms in a single night. And s...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5206174872105196)]",1.0,0.3039698600769043,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e9007dae49d8af7b7fa7932aef22bbdc01132df7a83250c1516203d03c7a8b4b, content: ' It is most “important to recognize that in many words the English and Scandinavian language differe...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.5029416489492136)]",1.0,0.9999998807907104,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=b43e607046d3a9f2878f76721d6d75cb6c46d2bdb38f6b3fdc5f1b9a2f23a163, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.48577817227393083)]",1.0,0.20152544975280762,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=4af194e6a549f3cca324fac69732006a675ddeb8e841c964604dff19122e4f16, content: 'O.K, Maroussi) have won 3 Triple Crowns, 5 Saporta Cups, 2 Korać Cups and 1 FIBA Europe Champions Cu...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.5204525008013012)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=0639a6470cdb94c436a07cbb24189b437a50f73fdb84ffa10dd2faeb282342a2, content: '
The show had originally planned on having four judges following the Pop Idol format; however, only ...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.5454945986369781)]",1.0,0.8232484459877014,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=2296ed852027297f8181dc1f64af4fcbb66e36bb282c6197423888ce9d011df5, content: '9–14 μm) and produce images of that radiation. Since infrared radiation is emitted by all objects ba...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6525550298431104)]",1.0,1.0000001192092896,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=5dac70957842f214d4c60f76564b27a7e657cd237c677ed236d1ed1ca76e360f, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6477764778542375)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,Bremen and Bremerhaven,"[Document(id=48379d700246108e0c3da307a3a8e5de24d8bee4044a5988144f1d9cd57b09c2, content: 'Germany is a federal republic consisting of sixteen federal states (German: Bundesland, or Land).[a]...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5043829724168043)]",1.0,1.0000001192092896,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,placing the glyph itself to the left or right of the left sidebearing,"[Document(id=1a26dbf7fc2f6d061e0b9cfbac5364517775557176c147e38168cf1391574c14, content: ' Thus, in many cases, users have multiple ways of encoding the same character. To deal with this, Un...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.5509833423446333)]",0.0,-0.015694376081228256,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,lower federal courts,"[Document(id=d356a5182977fa489e1e6eec51c082e5a99e5c3c38407e179300a795bb98de6e, content: ' These supplemental remedies are considered collateral review, that is, an avenue for upsetting judg...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 0.49507471145076914)]",1.0,0.5716046094894409,1.0,1.0,1.0
What did Whitehead consider himself as a philosopher? ,rank amateur,one of the 20th century's foremost metaphysicians,"[Document(id=645c5e4f8126b7f8b45cf02dc6a818511eead3620792f162523eacd0e5908ee5, content: '"" Ironically, in later life Whitehead would become one of the 20th century's foremost metaphysicians...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 0.5103405273843459)]",1.0,0.14327546954154968,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,"""No state shall... make any thing but gold and silver coin a tender in payment of debts","[Document(id=68d14edc51b808820ba009fc52fe536383dc5d9fe285a432d114fdcd84ef9e86, content: ' The currency as we know it today did not get the faces they currently have until after the early 20...', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.3801649071482328)]",1.0,0.08643913269042969,1.0,1.0,1.0
Which region of the US experiences rain year round?,Pacific Northwest,Hawaii,"[Document(id=5cc5c90d3b7502d6e064b808c140d69c74657b0e5d9b60b7a5c3a8b76125d80b, content: 'S., with Quinault Rainforest in Washington having an average of 137 inches (348 cm). Hawaii receives...', meta: {'name': 'Geography_of_the_United_States', 'source_id': '6eef5e1e8e3a1d489b23e0304d3cc9472b84a44871b2fd5ecfc8ab3f12e8ccf0', 'page_number': 1}, score: 0.580297732561311)]",1.0,0.5410599708557129,1.0,1.0,1.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,Antigen specificity,"[Document(id=7f56f4718d147b0156e077e4853a6ac0250773335364d5e5cac1ff37df572de8, content: ' The adaptive immune response is antigen-specific and requires the recognition of specific ""non-self...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 0.5447541169419035)]",1.0,0.4682602286338806,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Babe Ruth,"[Document(id=9f4c20a2bce44cf9bd3af493be183ab333c4d80eef37f323c78a73218b2cb402, content: ' Because of the tie the Giants and Cubs ended up tied for first place. The Giants lost the ensuing o...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 0.5515789425362991)]",1.0,1.0,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,Computing,"[Document(id=724eb1fe8da5e0d4da8a448227c2eb83283ae94ad66b58e07296d26274b6a2b4, content: ' In terms of specific course salaries, the Sunday Times ranked Computing graduates from Imperial as ...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 0.4505703094141891)]",1.0,0.6075230836868286,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1960,"[Document(id=0f23a3d664b2d9d293629ea9d692c835b9a8e93ffb30bc45de463cd9b9d93424, content: ' Therefore, Khrushchev would not take part in the summit. Up until this event, Eisenhower felt he ha...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.6092619061844369)]",1.0,1.0000001192092896,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,50 m (160 ft),"[Document(id=44b4daa4d3c4378951ca880516b3342520595caa477d61e2c5fc88de3627c8f0, content: ' Modern Paris owes much to its late 19th century Second Empire remodelling by the Baron Haussmann: m...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.7160253770681686)]",1.0,0.8085941672325134,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,duration of economic growth spells,"[Document(id=fba3e3c3e8001e6e2682424641a36dc63233372513150f4bf138ff4ceac88039, content: ' Thus, the marginal utility of wealth per person (""the additional dollar"") decreases as a person bec...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 0.4046748955914073)]",0.0,0.06012151017785072,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=497c11f9fbbfb1f37be3dcd0a29d747c5f8f8967252a25e340b937417a080280, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 0.7380069801719974)]",1.0,1.0000001192092896,1.0,1.0,1.0
