questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=99729d5c09ec68a18e6cb9e326f59027b5c69bc74e05e8c8c0d825360370bf5e, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 173.02697070797495)]",1.0,0.9999998807907104,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,March,"[Document(id=5081c97cf3c1bba15e1c4e67633c829431bdafa2c6e4103be63d8bb2cf12a442, content: ' The park's amphetheatre was renovated in 2010, and has hosted performances by acts such as Deftones...', meta: {'name': 'Fresno,_California', 'source_id': 'a46a1dee5f6d188d5f5a510a3c694e88541550757193e312801d8b786a38b1fa', 'page_number': 1}, score: 85.07322132565646)]",0.0,0.046456485986709595,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Ormoc Bay,"[Document(id=54cf290f562ea7c2ffff22fe517ae92e59e00fbdbc47dd6d72ae885b0455fd69, content: ' Fifth Air Force was able to devastate the Japanese attempts to resupply. In torrential rains and ov...', meta: {'name': 'Pacific_War', 'source_id': 'bbc89e90f0fa3a97026e63250a28c1a17f157ab8c6d81bc70d6d55b8da059c57', 'page_number': 1}, score: 151.79338514889298)]",0.0,0.09204164147377014,0.0,0.0,0.0
The Modern English ending -'s is derived from what ending in Old English?,-es,"Ænglisc, Anglisc, Englisc","[Document(id=169a5194d5b8e4398d0437961bfa539bb8d8fa94fb38d4cba89afa5e1b31232c, content: 'Old English (Ænglisc, Anglisc, Englisc) or Anglo-Saxon is the earliest historical form of the Englis...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 110.28235177333441)]",1.0,0.1304444968700409,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,"low-church"" traditions of Protestantism","[Document(id=bbad1043bc2ff983eeca01fd03f84a8577a718a20a14adc37febb6fddb52936a, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 133.68718996186385)]",1.0,0.12859657406806946,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=927ee26533dc7f17be50a4cb7fc74bed43a4bc44825d916333e6dd9c5d18c958, content: ' The Greek league, the A1 Ethniki, is considered one of the top volleyball leagues in Europe and the...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 177.5734971726734)]",1.0,0.9999998807907104,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=dddbddd251efc34f4b3d3c9022140571b04cbc8835dace1cf407b1ef1ea9dd5d, content: ' Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two sea...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 109.75365806507682)]",1.0,0.7108101844787598,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=05e7c56a6da1ed703309ec6f627bc69c369ec51519a9e5eb8c442673c62365e4, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 129.47865242752295)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 209.32334393129398)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=a102b81b2963aaefdf1a83d1a1d96870be10e96bb78da447e6f4a0220bbf260f, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 144.68905502955556)]",1.0,0.12825781106948853,1.0,1.0,1.0
