questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=99729d5c09ec68a18e6cb9e326f59027b5c69bc74e05e8c8c0d825360370bf5e, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5674900599530198)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,7 April 1997,"[Document(id=6f5469051c1e9452ac1f90d1113888497a72a12f5bcb94b63f6e73f564dcc76d, content: ' To date, the Peace Corps has not returned to the Central African Republic. The Bangui Agreements, s...', meta: {'name': 'Central_African_Republic', 'source_id': '97385de9e4cd05b9e1952b83230d3dfea313a8ee7d900de0adc9bae2d951be24', 'page_number': 1}, score: 0.40080580103576613)]",0.0,0.32845982909202576,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,KG 55,"[Document(id=90134b283b25268de3e509cb8a548e6a73007ffb1b313d9653603fc2bb9c3b55, content: ' On 19 November 1940 the famous RAF night fighter ace John Cunningham shot down a Ju 88 bomber using...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5773304984390446)]",1.0,0.11742228269577026,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e5cb80c1093f573ce5c1d255322723cb12056865ea80e45b815e3467be2f33fd, content: ' It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially)...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.6521761611401243)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,"low-church"" traditions of Protestantism","[Document(id=bbad1043bc2ff983eeca01fd03f84a8577a718a20a14adc37febb6fddb52936a, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.46709569635711634)]",1.0,0.1646253764629364,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=5f851cd4f49c06ae30150b3dfe14947705e0cd2b835b8ea3ef91b1ef1bf833b5, content: ' The Greece men's national water polo team became the third best water polo team in the world in 200...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.663954529813995)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=dddbddd251efc34f4b3d3c9022140571b04cbc8835dace1cf407b1ef1ea9dd5d, content: ' Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two sea...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6261650029354624)]",1.0,0.8083884716033936,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=05e7c56a6da1ed703309ec6f627bc69c369ec51519a9e5eb8c442673c62365e4, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6347191994948904)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6643419003251825)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,"Bergen (in Norway), Stockholm (in Sweden), and Vyborg","[Document(id=5cf9bba4037ffb12d79f2ab44ea7b22d5556d1f47b8e6bb302f92f2d93799518, content: ' Along the trade routes, Hanseatic trade stations became centers of the German culture. German town ...', meta: {'name': 'Germans', 'source_id': '87c5e28d01065fdd517ee7c4c4b9b83b8b40b35a4d9ba5664f523e4485346f24', 'page_number': 1}, score: 0.6045755481314335)]",0.0,0.4704947769641876,0.0,0.0,0.0
