questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=ac8e9c286327aea24d00bceb002b08ad3fbc3007673c77da9b48b6b6b91aa76f, content: ' Some rites of the domus (household) were held in public places but were legally defined as privata ...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5545176647418332)]",1.0,1.000000238418579,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,1992,"[Document(id=362969eae3f46b97e578fb1b65143f839fc2a787fe322e1e83b8270c0ac09c94, content: ' Bush's 2007 European tour, Edi Rama, Tirana's mayor and leader of the opposition Socialists, said: ...', meta: {'name': '51st_state', 'source_id': 'aa3341a0a65518fe53b022b57fd32c865f74c249a1b4d32919c38bfd1cead5b7', 'page_number': 1}, score: 0.38915419615303337)]",0.0,0.34838998317718506,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Bomber Command,"[Document(id=67346696a72eb98fc01faf97de2c3a68cf161364d6413eefe068134d10fcf3de, content: ' Attacks on Birmingham and Coventry were subject to 500 short tons (450 t) of bombs between them in ...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.600247916969115)]",1.0,0.2595972716808319,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=081239836dc280856dc2c1ab168f17d8fffffed12cbaeb50b62cd11b58a116b4, content: ' It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially)...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.6403058641147197)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,"low-church"" traditions of Protestantism","[Document(id=70acdc5f12009efe2ebd2dd786809c97eacf0dc441dc5d0ed86857bd7db13270, content: ' Also, with the advent of the internet, many teachers are now selling their lesson plans to other te...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.5329079416622291)]",1.0,0.1646253764629364,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=c6017a99c04926bab23928d5fed5517ccdf053e42b0a0376e97782a93ab5a6b4, content: ' The Greece men's national water polo team became the third best water polo team in the world in 200...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6852555389578893)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=17489faf6fb39343de67cc2bfe448e959559775109bb646aa0e4d02b716ddf77, content: ' Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two sea...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6149654088231247)]",1.0,0.8083884716033936,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=1c8a379dc092fa8d374927640e6d16f46286416581451c66a1da80fef1412acc, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6642589447541861)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=1eed45d4c946ec058384afdd313db9b847d2b384629f1872466e03c7bc13a2e5, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6168396798925952)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=b99c33e3f1152b05cb402034099d36d6b8fc3942c6deb97d0de9d7f47d56c738, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5237965717088976)]",1.0,0.39612674713134766,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,Unicode,"[Document(id=1ca3328892ba24004a75d8cfaab0f58ce32bed8ee034be6fa54e33e8b0a62eb5, content: ' UTF-16 extends UCS-2, using one 16-bit unit for the characters that were representable in UCS-2 and...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.5571209200423095)]",0.0,0.1403539478778839,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,federal,"[Document(id=478de5bfd3be02e5795166dfaf36bf31f55ed01f66e8d8ff978214365dc0f179, content: ' Further, the Court's decision in Baze v. Rees, upholding a lethal injection method used by many sta...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 0.5154552807306718)]",1.0,1.0000001192092896,1.0,1.0,1.0
What did Whitehead consider himself as a philosopher? ,rank amateur,rank amateur,"[Document(id=a022efa8ed739794e05008dbe44d9b83a87fc4f4b7a609ec096b9d437bc5089e, content: ' For Whitehead, education should be the exact opposite of the multidisciplinary, value-free school m...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 0.5968778075657488)]",1.0,1.0,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,borrow money on the credit of the United States,"[Document(id=9f240c943520891dcb4853fa0b77bb9da0c6144acd3f67acca4ff043b2823fb2, content: '
Early releases of the Washington coin included error coins shipped primarily from the Philadelphia ...', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.5126320755658378)]",1.0,0.023210063576698303,1.0,1.0,1.0
Which region of the US experiences rain year round?,Pacific Northwest,California,"[Document(id=01bc00b0443b909364f804d3db4980f9c28a48894e7efe45a10b1d66bb4f6002, content: ' The uplands towards the Appalachians were included in the great eastern forested area, while the we...', meta: {'name': 'Geography_of_the_United_States', 'source_id': '6eef5e1e8e3a1d489b23e0304d3cc9472b84a44871b2fd5ecfc8ab3f12e8ccf0', 'page_number': 1}, score: 0.678538481868027)]",1.0,0.5433623194694519,1.0,1.0,1.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,Adaptive (or acquired) immunity,"[Document(id=4f2fba1eb5467425d8e57ae2a4af5c24920de101064b738c048036a68ef3852a, content: 'The immune system is a system of many biological structures and processes within an organism that pr...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 0.6805778943142242)]",1.0,1.0000001192092896,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Kyle Schwarber,"[Document(id=e7143fa77dfb51a3ba85804cccd3bf347ba3ba5227422dbc11b406b7a7ce7610, content: '
On May 11, 2000, Glenallen Hill, facing Brewers starter Steve Woodard, became the first, and thus f...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 0.5046003190275887)]",1.0,0.5717676877975464,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,3.36,"[Document(id=8190e2f3cfba3c67fc319c1eba30ec986d8174be2decff7ed0bb12a364fb52bb, content: '
The College's endowment is sub-divided into three distinct portfolios: (i) Unitised Scheme – a unit...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 0.49844352438506834)]",1.0,0.09059444814920425,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1960,"[Document(id=78d1760ca2fa0904e5480a91d388ba9d6c37d737a65426e5cbb2488333bc1e1a, content: ' Eisenhower made clear his stance in his first State of the Union address in February 1953, saying ""...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.6915934272370499)]",1.0,1.0000001192092896,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,50 m (160 ft),"[Document(id=891cab83df456a1bb11d8e7c301e45b02e564d224d3be1f7bdb82d02edc8f221, content: ' Modern Paris owes much to its late 19th century Second Empire remodelling by the Baron Haussmann: m...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.66910672984007)]",1.0,0.804789662361145,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,Crime rate,"[Document(id=cfc35d312a7f860ff8772433762d5f27e606e10585399783dd129af1d4d74ed4, content: ' Other studies have confirmed this relationship. The UNICEF index of ""child well-being in rich count...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 0.5542598259336555)]",0.0,0.0639934316277504,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=56ff4bdb4f543c61c1f516ba1e544e83e117ab5512bae58b2264fa6b6d86f26b, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 0.740709470725756)]",1.0,1.0000001192092896,1.0,1.0,1.0
Who should be able to challenge administrative orders in court?,individuals,individuals,"[Document(id=5c5f6a0591170904a56f4c0417e667089761d8d8f013f55283aff164fdadd75b, content: ' Dicey's: “no man is punishable or can be lawfully made to suffer in body or goods except for a dist...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 0.5566146748558449)]",1.0,1.000000238418579,1.0,1.0,1.0
The Slavs were under what name in the early 6th century?,the Antes and the Sclaveni,Veneti,"[Document(id=4236cbbf71506fe35f0da033ea9b465edf3cfbfdd8e6bac2b259b18835cc0408, content: '
The relationship between the Slavs and a tribe called the Veneti east of the River Vistula in the R...', meta: {'name': 'Slavs', 'source_id': 'a55731ff3cd03d8fe34d4e646dbfcdc2088f01190e5110c9ff0baf4e4b486847', 'page_number': 1}, score: 0.6927475328468398)]",1.0,0.2406373918056488,1.0,1.0,1.0
How are the results simplified when using the SASO?,"into four summaries that look specifically at responses that correspond to either homosexuality, heterosexuality, bisexuality or asexuality.","measures sexual orientation on a continuum, considers various dimensions of sexual orientation, and considers homosexuality and heterosexuality separately","[Document(id=04d7cfe710801483b2e5c7c67b89cf9966fc92203783ea424fccf90e1b51520c, content: ' The classification scheme works such that individuals in the same category show the same balance be...', meta: {'name': 'Sexual_orientation', 'source_id': 'f94279650936a403aa3d2b43ab1ad42b1fd14d05455aa86fbcda6cda978ffe5c', 'page_number': 1}, score: 0.3825635282360615)]",1.0,0.6333848237991333,1.0,1.0,1.0
What socioeconomic class used the Florentine Tuscan language in Dante's time?,upper class,literate and upper class,"[Document(id=149c6390292392d4438c9191dca43bbe827c20a86bb7bfc502679813d7fcc108, content: ' Due to Eastern Lombard's status as a Gallo-Italic language, an Eastern Lombard speaker may, in fact...', meta: {'name': 'Dialect', 'source_id': '2e05b686e48c9512ae5466f1d15202b44fdc903ea32d0a42c5dbc9ef173d051d', 'page_number': 1}, score: 0.666760845084105)]",1.0,0.7628111839294434,1.0,1.0,1.0
"In addition to ammo proposals, what other need was articulated?",The need for some form of tracer or smoke trail,ground based air defence,"[Document(id=02cb335221aaee4ff1ec0fda1bf1d119c70f55fc89a407c08c8d2b31e60cf104, content: ' The M1 version was approved in 1940. During the 1920s there was some work on a 4.7-inch which lapse...', meta: {'name': 'Anti-aircraft_warfare', 'source_id': 'c54639424f62ce369356ed8c4e1e9fab8769359dd28029aa89832f5aa994f45d', 'page_number': 1}, score: 0.39528168687505916)]",1.0,0.24992957711219788,1.0,1.0,1.0
