questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=99729d5c09ec68a18e6cb9e326f59027b5c69bc74e05e8c8c0d825360370bf5e, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5457362610814793)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,February 1918,"[Document(id=0ef8f8c1cfa5365560e9c0600ddc6c5562db768c0ffefb5be0810d049e58a20c, content: 'S. entered World War I he immediately requested an overseas assignment but was again denied and then...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.3619775106609302)]",0.0,0.3045777678489685,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Coventry,"[Document(id=8fc950b88e17fb84bfb26ca1cf8567786d02b1c73face329b95c2f7c7e1dda1b, content: ' ""Pathfinders"" from 12 Kampfgruppe 100 (Bomb Group 100 or KGr 100) led 437 bombers from KG 1, KG 3, ...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5286291667203107)]",1.0,0.4347962439060211,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e5cb80c1093f573ce5c1d255322723cb12056865ea80e45b815e3467be2f33fd, content: ' It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially)...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.5479583834144631)]",1.0,0.9999998807907104,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=f628cb30d18c1374b4351a233133ea8649eb78c607439c749e11f99f56c9bbac, content: ' This guidance is generally offered during a ceremony called the patriarchal blessing.
In Hinduism t...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.4727434670791851)]",1.0,0.20152541995048523,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=927ee26533dc7f17be50a4cb7fc74bed43a4bc44825d916333e6dd9c5d18c958, content: ' The Greek league, the A1 Ethniki, is considered one of the top volleyball leagues in Europe and the...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6800230578684324)]",1.0,1.0000001192092896,1.0,1.0,1.0
How many judges were on the panel for this season?,four,four,"[Document(id=52a0fae35f124062c7009aeb57cfa6fb15f201644550104b1c1a83c6f0449b3a, content: ' This season's judging panel consisted of Randy Jackson, along with Mariah Carey, Keith Urban and Ni...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6542733508503982)]",1.0,0.9999999403953552,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=05e7c56a6da1ed703309ec6f627bc69c369ec51519a9e5eb8c442673c62365e4, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.7197798569813239)]",1.0,1.0000001192092896,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.7362191709321027)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=a102b81b2963aaefdf1a83d1a1d96870be10e96bb78da447e6f4a0220bbf260f, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5987085330383715)]",1.0,0.23566488921642303,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,"Unicode are rarely used Kanji or Chinese characters, many of which are part of personal and place names, making them rarely used, but much more essential than envisioned in the original architecture of Unicode","[Document(id=342c330a27b48d875c7faab6489e31c23f8175b42e50bc55435524888ab8e70f, content: 'g., Egyptian Hieroglyphs) and thousands of rarely used or obsolete characters that had not been anti...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.5761358435107942)]",0.0,0.01901988312602043,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,federal,"[Document(id=be1e7e4a69e49687682a8ca0c606792dd44baba4b9d0f7e7871524099ae07fba, content: ' The second-largest mass execution was also a hanging: the execution of 13 African-American soldiers...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 0.5800851716370473)]",1.0,1.0,1.0,1.0,1.0
What did Whitehead consider himself as a philosopher? ,rank amateur,rank amateur,"[Document(id=b0360cb0e79aa53fce9b6b987065d38127ef8c7392ded59d294e940b3fc8c15b, content: ' For Whitehead, education should be the exact opposite of the multidisciplinary, value-free school m...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 0.6416938602715427)]",1.0,1.0,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,Geithner,"[Document(id=72219d05f3a5eb2742c24339f535f703a1e2eab90cf567e58e7fabed15a9bd26, content: ' Geithner. Future minting of such coins will be made solely for collectors.
The Constitution provide...', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.3853987952901218)]",1.0,0.30465614795684814,1.0,1.0,1.0
Which region of the US experiences rain year round?,Pacific Northwest,nearly all U.S,"[Document(id=8a2739e7083a8933e34f34b82a0419e65f25241888f20dfc9f57614f1dbbb640, content: ' This reputation stems from the frequency of light precipitation in the fall, winter, and spring. In...', meta: {'name': 'Seattle', 'source_id': '1c1a54ff037a1e964929dc466a4a876fa6bb7609d7737ba7226bcd2ab49385cf', 'page_number': 1}, score: 0.6143793924794404)]",0.0,0.3211246728897095,0.0,0.0,0.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,Innate immune defenses,"[Document(id=a18e0058b343b5da0485ed348b299343056dca832078a909b95578e3a8fd7eb7, content: ' Conversely, non-self molecules are those recognized as foreign molecules. One class of non-self mol...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 0.6306169395074717)]",1.0,0.6429639458656311,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Kris Bryant,"[Document(id=d4ea7f9d753e5097de93cd59bafb975870c755859e3b41b8405196b35d15c608, content: ' Dave Kingman hit a shot in 1979 that hit the third porch roof on the east side of Kenmore, estimate...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 0.551859834267042)]",1.0,0.4678385853767395,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,Computing,"[Document(id=69167e0ce0c5b24f9a9e3827fc8644256bf41ebe37320544c994fc892aac55b6, content: ' In terms of specific course salaries, the Sunday Times ranked Computing graduates from Imperial as ...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 0.48353147038749955)]",1.0,0.6075230836868286,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1957,"[Document(id=e20106e1401ce2522cd3d14d13fae9ea782170d84e4c3db914247513b098ce09, content: '.. a discrimination in the expenditure of those funds"".
Eisenhower told District of Columbia officia...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.6884836139820915)]",1.0,0.703947901725769,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,50 m (160 ft),"[Document(id=d89cdeedbc8441f4e2c52a3575e8c530fcce225561404b37c7cdd108d1cc549f, content: ' Modern Paris owes much to its late 19th century Second Empire remodelling by the Baron Haussmann: m...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.7343823718020364)]",1.0,0.8085941672325134,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,lower levels of growth,"[Document(id=e62fe349ee4e73a3572e9f63b19d92af4d05f2e4ba5ba37814049ed91dfeb15b, content: '""
In 1993, Galor and Zeira showed that inequality in the presence of credit market imperfections has...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 0.4799174471270644)]",0.0,0.13175535202026367,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=720eb3795a623e31335108bcc29a4b774e33272bb625d5968983846dd3b35f68, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 0.7553394085608023)]",1.0,1.0000001192092896,1.0,1.0,1.0
