questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=3c9b5484de418625b08e3d8f4e3c3398f40f2f5af0bbf48528ee46ea38c64e7c, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5597276623459511)]",1.0,1.000000238418579,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,1992,"[Document(id=aad3198679bdfc06be9a6021094c2cc36d80d09f77a88a1410392cd2e76ab336, content: '"" At the time of ex-Secretary of State James Baker's visit in 1992, there was even a move to hold a ...', meta: {'name': '51st_state', 'source_id': 'aa3341a0a65518fe53b022b57fd32c865f74c249a1b4d32919c38bfd1cead5b7', 'page_number': 1}, score: 0.35516591888002275)]",0.0,0.34839001297950745,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Coventry,"[Document(id=93c78551f27ece2b380d8a30b1c8852063e2afe373bf66ac0ff8fc705d37f96c, content: ' On 19 November 1940 the famous RAF night fighter ace John Cunningham shot down a Ju 88 bomber using...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5731025412729198)]",1.0,0.5261203050613403,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e9007dae49d8af7b7fa7932aef22bbdc01132df7a83250c1516203d03c7a8b4b, content: ' It is most “important to recognize that in many words the English and Scandinavian language differe...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.6303054320453825)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=b43e607046d3a9f2878f76721d6d75cb6c46d2bdb38f6b3fdc5f1b9a2f23a163, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.5091397083739027)]",1.0,0.4012155532836914,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=4af194e6a549f3cca324fac69732006a675ddeb8e841c964604dff19122e4f16, content: 'O.K, Maroussi) have won 3 Triple Crowns, 5 Saporta Cups, 2 Korać Cups and 1 FIBA Europe Champions Cu...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6223667259906489)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=0639a6470cdb94c436a07cbb24189b437a50f73fdb84ffa10dd2faeb282342a2, content: '
The show had originally planned on having four judges following the Pop Idol format; however, only ...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.5792649097039392)]",1.0,0.8083884716033936,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=2296ed852027297f8181dc1f64af4fcbb66e36bb282c6197423888ce9d011df5, content: '9–14 μm) and produce images of that radiation. Since infrared radiation is emitted by all objects ba...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6292707894619731)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=5dac70957842f214d4c60f76564b27a7e657cd237c677ed236d1ed1ca76e360f, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6064028863553603)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,"Bergen (in Norway), Stockholm (in Sweden), and Vyborg","[Document(id=6a3f5e0630db73ff1550601fa1d1616875dc0e070f4b7057108481da4656c6c8, content: ' The former German state of Prussia took its name from the Baltic Prussians, although it was led by ...', meta: {'name': 'Germans', 'source_id': '87c5e28d01065fdd517ee7c4c4b9b83b8b40b35a4d9ba5664f523e4485346f24', 'page_number': 1}, score: 0.5104194547915891)]",0.0,0.4704947769641876,0.0,0.0,0.0
