questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=3c9b5484de418625b08e3d8f4e3c3398f40f2f5af0bbf48528ee46ea38c64e7c, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 176.94739092146085)]",1.0,0.9999998807907104,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,5 July 2005,"[Document(id=2bb0143cbe0013e9a1f2c007273d15715e8d6daa8bd81bb7fd41acf67926990b, content: ' After the success of the British Galleries, opened in 2001, it was decided to embark on a major red...', meta: {'name': 'Victoria_and_Albert_Museum', 'source_id': '202e0997b99bb8f0aaa6dd9c09c05e008cf8809c92549b6c9f073b5d26d1a3dd', 'page_number': 1}, score: 79.8326457180098)]",0.0,0.46504393219947815,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Tora Bora,"[Document(id=0eb20bd2a77cf38001b407668fb5851a524f20fa206d4f94205383da24400352, content: ' On 7 October 2001, the official invasion began with British and U.S. forces conducting airstrike ca...', meta: {'name': 'War_on_Terror', 'source_id': 'b9ac47a39d382362992253f0ccfa0072ea6216fe1daa748c4899980b467292f4', 'page_number': 1}, score: 170.56443831891409)]",0.0,0.15409140288829803,0.0,0.0,0.0
The Modern English ending -'s is derived from what ending in Old English?,-es,"Ænglisc, Anglisc, Englisc) or Anglo-Saxon","[Document(id=540a5b537ec7e1fdea905baae428e9a4c76167e7be305ec2dac494ec1ac16d1f, content: 'Old English (Ænglisc, Anglisc, Englisc) or Anglo-Saxon is the earliest historical form of the Englis...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 109.47656677866291)]",1.0,0.19367319345474243,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=b43e607046d3a9f2878f76721d6d75cb6c46d2bdb38f6b3fdc5f1b9a2f23a163, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 141.90348317285938)]",1.0,0.10249558091163635,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=4af194e6a549f3cca324fac69732006a675ddeb8e841c964604dff19122e4f16, content: 'O.K, Maroussi) have won 3 Triple Crowns, 5 Saporta Cups, 2 Korać Cups and 1 FIBA Europe Champions Cu...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 155.4234665974737)]",1.0,0.9999999403953552,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=0639a6470cdb94c436a07cbb24189b437a50f73fdb84ffa10dd2faeb282342a2, content: '
The show had originally planned on having four judges following the Pop Idol format; however, only ...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 123.15646815816092)]",1.0,0.7108100652694702,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=2296ed852027297f8181dc1f64af4fcbb66e36bb282c6197423888ce9d011df5, content: '9–14 μm) and produce images of that radiation. Since infrared radiation is emitted by all objects ba...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 114.32649598257161)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=5dac70957842f214d4c60f76564b27a7e657cd237c677ed236d1ed1ca76e360f, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 155.5405676121626)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=d439f7d8555c7aea5751230341480bbf37f3e3f9e6b4e542f7cb145dfa03c950, content: ' In the three free states of Bavaria, Saxony, and Thuringia the government is referred to as the Sta...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 161.52389140584813)]",1.0,0.12825778126716614,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,β-Lactam antibiotics,"[Document(id=3b8de679cf4330422020b3c530f29f7e55171fe9f5a7383faca38ec8723c7d6e, content: ' Bacterial cell walls are different from the cell walls of plants and fungi, which are made of cellu...', meta: {'name': 'Bacteria', 'source_id': 'f8e9d365bfe51780e8f42f3a07cb69dd7a6df46bc7c67030d0853bdb13eeb390', 'page_number': 1}, score: 68.15934476800317)]",0.0,0.03749799355864525,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,district court,"[Document(id=a54d74acb097c757f1d529fef3759c7167a1133c97bc7020d3ed8e7abf0a8c44, content: 'S. Court of Appeals for the Fifth Circuit got the issue wrong — on the second try as well as on the ...', meta: {'name': 'Affirmative_action_in_the_United_States', 'source_id': 'b7156a1660bb591e3abb4460028a7922c063ba8962ad6dce11678f8b08c5cdcb', 'page_number': 1}, score: 100.49442833929467)]",0.0,0.2981231212615967,0.0,0.0,0.0
