questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=ac8e9c286327aea24d00bceb002b08ad3fbc3007673c77da9b48b6b6b91aa76f, content: ' Some rites of the domus (household) were held in public places but were legally defined as privata ...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5865511627398434)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,August 1943,"[Document(id=e8b83e3a1a1c126abbafbdcc3a1032bec3194faa41994b581f26eaa7f9d0f307, content: ' The descriptions of these were published in Memoir III of the Australian Museum Sydney between 1896...', meta: {'name': 'Tuvalu', 'source_id': '4a4e309bc4b63f2a542d80bca7c9d33d9df6ccfa328612b01483ad5d2101621d', 'page_number': 1}, score: 0.3557680082127386)]",0.0,0.27104127407073975,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Coventry,"[Document(id=d8fd97e153fa909813de22390c7c4607821a5041d6350b606b4f95c6304faa9d, content: ' ""Pathfinders"" from 12 Kampfgruppe 100 (Bomb Group 100 or KGr 100) led 437 bombers from KG 1, KG 3, ...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5517882669038934)]",1.0,0.4347962737083435,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=081239836dc280856dc2c1ab168f17d8fffffed12cbaeb50b62cd11b58a116b4, content: ' It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially)...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.48628358032025165)]",1.0,0.9999998807907104,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=c1b15c9f6474425049e145f56eea6b22790074204f55cd26eb005fca608f63a8, content: ' This guidance is generally offered during a ceremony called the patriarchal blessing.
In Hinduism t...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.47522311411982915)]",1.0,0.20152544975280762,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,"Panathinaikos, Olympiacos, Aris Thessaloniki, AEK Athens, P.A.O.K, Maroussi","[Document(id=76be05dc0de2dfbcf6d3d16e80abbfa4ee57f55d30696681b941ecd6ff700822, content: 'O.K. Greek basketball teams are the most successful in European basketball the last 25 years, having...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6240392690147745)]",1.0,0.5849509239196777,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=17489faf6fb39343de67cc2bfe448e959559775109bb646aa0e4d02b716ddf77, content: ' Jennifer Lopez and Steven Tyler joined the judging panel in season ten, but both left after two sea...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6295865021297492)]",1.0,0.8232484459877014,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=1c8a379dc092fa8d374927640e6d16f46286416581451c66a1da80fef1412acc, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.7197352146596256)]",1.0,1.0000001192092896,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=1eed45d4c946ec058384afdd313db9b847d2b384629f1872466e03c7bc13a2e5, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6574727180609481)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,Bremen and Bremerhaven,"[Document(id=0427081e9deb9c727f124b818203b3d0cc649efe97ddc37c49cee8cebfa2c3a1, content: 'Germany is a federal republic consisting of sixteen federal states (German: Bundesland, or Land).[a]...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5043829724168043)]",1.0,1.0000001192092896,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,"Since version 3.0, any precomposed characters that can be represented by a combining sequence of already existing characters can no longer be added to the standard in order to preserve interoperability between software using different versions of Unicode","[Document(id=8abb498ed2e51ecc6d89f4e5b9bcdce65b632039dd82bfefb02d5dec25036fbd, content: '
Modern font technology provides a means to address the practical issue of needing to depict a unifi...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.5751440958199375)]",0.0,0.03272436559200287,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,lower federal courts,"[Document(id=af588e16cba35397799ed402e254a69a9445c63e2da06985a64c8440d5e111ea, content: ' Most often these are claims, such as ineffective assistance of counsel, which requires the court to...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 0.5401086806576698)]",1.0,0.5716047286987305,1.0,1.0,1.0
