questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,priestly caste,"[Document(id=81f6510f9c3161c284ded9e3c69551eff2ab954b99d32b61663123ece4455df3, content: ' Some rites of the domus (household) were held in public places but were legally defined as privata ...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 176.58292358181697)]",1.0,0.04427206516265869,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,"April 29, 2011","[Document(id=005790da2506fa1debe2ca34f643aaa24f11655bf9331396afcc9fc3c636a8f9, content: ' Interestingly, the poll also found that even South Jersey voters expressed opposition to the plan; ...', meta: {'name': 'Atlantic_City,_New_Jersey', 'source_id': '40e9ddfdc81bef98169b0c6d3711f5c9ebc0931bd0a274d9cc6ce967dca6cb85', 'page_number': 1}, score: 87.80952109419226)]",0.0,0.4457192122936249,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Rotterdam,"[Document(id=3fe9edc56bd80e018f3b5d2c1a425a36eeeae2507d5266fa8dcf4b61ff983f68, content: ' Thereafter bombing operations were against ports and shipping and propaganda leaflet drops. Operati...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 164.93550538086404)]",1.0,0.19386684894561768,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,"Ænglisc, Anglisc, Englisc","[Document(id=169a5194d5b8e4398d0437961bfa539bb8d8fa94fb38d4cba89afa5e1b31232c, content: 'Old English (Ænglisc, Anglisc, Englisc) or Anglo-Saxon is the earliest historical form of the Englis...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 110.28235177333441)]",1.0,0.1304444968700409,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Protestant canon of scripture,"[Document(id=33bae84e0fadac77ab1c114162e6f7e6df9a4d4170cf8108b6c99042e377a34b, content: ' The religion's leadership, while disclaiming divine inspiration and infallibility, is said to provi...', meta: {'name': 'Jehovah%27s_Witnesses', 'source_id': '24c4ceb07a03deed95302a705611ef12a9f83e147ff32a82bd8e3659b73793ec', 'page_number': 1}, score: 134.28319020928075)]",0.0,0.03074711561203003,0.0,0.0,0.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,Olympiacos,"[Document(id=927ee26533dc7f17be50a4cb7fc74bed43a4bc44825d916333e6dd9c5d18c958, content: ' The Greek league, the A1 Ethniki, is considered one of the top volleyball leagues in Europe and the...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 177.5734971726734)]",1.0,1.0,1.0,1.0,1.0
How many judges were on the panel for this season?,four,fourteenth and fifteenth,"[Document(id=92c657af0ea397b4fe292701d891bd9f255649c72802b358eda1429072392d21, content: '. Lopez, Urban and Connick, Jr. all returned as judges for the show's fourteenth and fifteenth seaso...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 122.80108301911179)]",1.0,0.5482897162437439,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=05e7c56a6da1ed703309ec6f627bc69c369ec51519a9e5eb8c442673c62365e4, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 129.47865242752295)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=4437c778daec446c4362623ed3261e5ec4170314f4aa14f8381b8c7ee6eef3fe, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 209.32334393129398)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,"Köln or Cologne Carnival, as well as Mainz and Düsseldorf are the largest and most famous. Other cities have their own, often less well-known celebrations, parades and parties such as Worms am Rhein, Speyer, Kaiserslautern, Frankfurt, Darmstadt, Mannheim, Ludwigshafen, Stuttgart, Augsburg and München [Munich] Nürnberg","[Document(id=fb95fc203542f93f3545ff98f4c4744c4d94b74ba0b46562cac74ea4c34fcc21, content: ' The Carnival season also includes Fastelavens søndag (with cream buns) and fastelavensris with deco...', meta: {'name': 'Carnival', 'source_id': '6276aebf7ba195a529455cfda1ccf9d9aa6ddf58fac44b707047b161538ef46e', 'page_number': 1}, score: 149.5881317831743)]",0.0,0.24246129393577576,0.0,0.0,0.0
