questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=ac8e9c286327aea24d00bceb002b08ad3fbc3007673c77da9b48b6b6b91aa76f, content: ' Some rites of the domus (household) were held in public places but were legally defined as privata ...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 172.20880681428673)]",1.0,0.9999999403953552,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,January 2010,"[Document(id=5987439923479496ef29d3e07778d456397d370fee0aa96398bfcb29d803683b, content: ' On January 8, 2009, Dell announced that it would move all Dell manufacturing in Limerick to Dell's ...', meta: {'name': 'Dell', 'source_id': '2a4fe0f2b4ecfc25a3563020204c8a55c9674b77ca6df3c224557299cb0a5581', 'page_number': 1}, score: 87.33112846472943)]",0.0,0.3453689515590668,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Tora Bora,"[Document(id=edf1d880f9644a86ef60cf78769e6b01b8387a648936eb886b2a89ea73f13424, content: ' On 7 October 2001, the official invasion began with British and U.S. forces conducting airstrike ca...', meta: {'name': 'War_on_Terror', 'source_id': 'b9ac47a39d382362992253f0ccfa0072ea6216fe1daa748c4899980b467292f4', 'page_number': 1}, score: 170.61233506154028)]",0.0,0.154091477394104,0.0,0.0,0.0
The Modern English ending -'s is derived from what ending in Old English?,-es,"those that survived, to be sure, are basic elements of Modern English vocabulary","[Document(id=e2e4a1a8f8ce00819a653f82506b51f73af5d08aa2aac746913cc487ab8f02eb, content: '
A later literary standard, dating from the later 10th century, arose under the influence of Bishop ...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 111.43807567202998)]",1.0,-0.006157325580716133,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Bible reading,"[Document(id=3ea5248487eae73641b86b07dcbc211849c33282b52b0559d15d46b39cdee5e6, content: ' The religion's leadership, while disclaiming divine inspiration and infallibility, is said to provi...', meta: {'name': 'Jehovah%27s_Witnesses', 'source_id': '24c4ceb07a03deed95302a705611ef12a9f83e147ff32a82bd8e3659b73793ec', 'page_number': 1}, score: 112.09092051382143)]",0.0,-0.047552794218063354,0.0,0.0,0.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,"Olympiacos, Panathinaikos, AEK Athens and PAOK.
The Greek national basketball team has a decades-long tradition of excellence in the sport, being considered among the world's top basketball powers. As of 2012, it ranked 4th in the world and 2nd in Europe. They have won the European Championship twice in 1987 and 2005, and have reached the final four in two of the last four FIBA World Championships, taking the second place in the world in 2006 FIBA World Championship, after a spectacular 101–95 win against Team USA in the tournament's semifinal. The domestic top basketball league, A1 Ethniki, is composed of fourteen teams. The most successful Greek teams are Olympiacos, Panathinaikos, Aris Thessaloniki","[Document(id=4b9cc1d29ed0f9a4cb783c7febb93802073dee536efd60ee53a2c3e5bec9cccf, content: ' Their best ever performance was in the 1896 Summer Olympics, when Greece finished second in the med...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 160.75179441488754)]",1.0,0.4144136607646942,1.0,1.0,1.0
How many judges were on the panel for this season?,four,three,"[Document(id=69502c6963b83079686ca2e50db3e2ea9735a99804867a88ff5e897e898803b2, content: '
The show had originally planned on having four judges following the Pop Idol format; however, only ...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 124.18059315671337)]",1.0,0.7108100056648254,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=1c8a379dc092fa8d374927640e6d16f46286416581451c66a1da80fef1412acc, content: ' Infrared can also be used to detect protostars before they begin to emit visible light. Stars emit ...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 129.0274963398839)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=1eed45d4c946ec058384afdd313db9b847d2b384629f1872466e03c7bc13a2e5, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 173.3412040228327)]",1.0,1.0,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,two urban districts,"[Document(id=b99c33e3f1152b05cb402034099d36d6b8fc3942c6deb97d0de9d7f47d56c738, content: ' The equivalent of the Minister-President is the Senatspräsident (President of the Senate) in Bremen...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 166.68434734067063)]",1.0,0.12825778126716614,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,"Lipopolysaccharides, also called endotoxins, are composed of polysaccharides and lipid A that is responsible for much of the toxicity of gram-negative bacteria. Most bacteria have the gram-negative cell wall, and only the Firmicutes and Actinobacteria have the alternative gram-positive arrangement. These two groups were previously known as the low G+C and high G+C Gram-positive bacteria, respectively. These differences in structure can produce differences in antibiotic susceptibility; for instance, vancomycin can kill only gram-positive bacteria and is ineffective against gram-negative pathogens, such as Haemophilus influenzae or Pseudomonas aeruginosa. If the bacterial cell wall is entirely removed, it is called a protoplast, whereas if it is partially removed, it is called a spheroplast. β-Lactam antibiotics, such as penicillin, inhibit the formation of peptidoglycan cross-links in the bacterial cell wall. The enzyme lysozyme, found in human tears, also digests the cell wall of bacteria and is the body's main defense against eye infections.
Acid-fast bacteria, such as Mycobacteria, are resistant to decolorization by acids during staining procedures","[Document(id=a93c46780eb38a9b8195740a871eddb9a85c482bf7d89e72d9247c60999aed47, content: ' Lipopolysaccharides, also called endotoxins, are composed of polysaccharides and lipid A that is re...', meta: {'name': 'Bacteria', 'source_id': 'f8e9d365bfe51780e8f42f3a07cb69dd7a6df46bc7c67030d0853bdb13eeb390', 'page_number': 1}, score: 67.86823728702234)]",0.0,0.16699571907520294,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,lower federal courts,"[Document(id=af588e16cba35397799ed402e254a69a9445c63e2da06985a64c8440d5e111ea, content: ' Most often these are claims, such as ineffective assistance of counsel, which requires the court to...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 107.60043105585532)]",1.0,0.5048620700836182,1.0,1.0,1.0
What did Whitehead consider himself as a philosopher? ,rank amateur,rank amateur,"[Document(id=a022efa8ed739794e05008dbe44d9b83a87fc4f4b7a609ec096b9d437bc5089e, content: ' For Whitehead, education should be the exact opposite of the multidisciplinary, value-free school m...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 210.30818292133372)]",1.0,1.0,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,divine right of kings,"[Document(id=607d109ecbf4caf0f219894e385aa017b2949009a0d7f78fe76e40014bbfa0af, content: 'The rule of law is the legal principle that law should govern a nation, as opposed to being governed...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 89.06030151326769)]",0.0,0.11411236971616745,0.0,0.0,0.0
Which region of the US experiences rain year round?,Pacific Northwest,Southwest,"[Document(id=ef3b24124d6963ab10e31070a01eb903bae0b374f75f9a00a0da61890b7d8c80, content: ', tornadoes are more common than anywhere else on Earth and touch down most commonly in the spring a...', meta: {'name': 'Geography_of_the_United_States', 'source_id': '6eef5e1e8e3a1d489b23e0304d3cc9472b84a44871b2fd5ecfc8ab3f12e8ccf0', 'page_number': 1}, score: 182.51279558274814)]",1.0,0.6455833315849304,1.0,1.0,1.0
